215,4,דירה,המתמיד,הראשונים,רמת גן,3800000,18
216,4,דירה,המתמיד,הראשונים,רמת גן,4200000,18
217,4,פנטהאוז,עציון,יד לבנים,רמת גן,4000000,8
218,4,דירה,מוצא,מרום נווה,רמת גן,3200000,4
219,3,דירה,"תרע""ד",הראשונים,רמת גן,2950000,3
220,3,דירה,ארלוזורוב,מרכז,רמת גן,2500000,7
221,4,דירה,פנחס רוטנברג,הבילוים,רמת גן,2600000,1
222,4,דירה,עלומים,תל גנים,רמת גן,2500000,1
223,4,דירה,כצנלסון,"הל""ה",גבעתיים,4200000,10
224,4,דירה,אחדות העבודה,קרית יוסף,גבעתיים,3200000,2
225,6,דירה,עלומים,תל גנים,רמת גן,4500000,1
226,4,דירה,אהוד,תל יהודה,רמת גן,3000000,4
227,4.5,דירה,המאבק,תל גנים,גבעתיים,4500000,12
228,3,דירה,הרי הגלעד 7,סביוני גן,רמת-גן,3300000,2
229,5,פנטהאוז,מעלה הנשר,מרכז,רמת גן,4500000,5
230,4,דירה,אריאל שרון,בורוכוב,גבעתיים,4200000,8
231,4,דירה,שפירא,הראשונים,רמת גן,4200000,8
232,1,מגרש למגורים,שפירא,הראשונים,אשדוד,1950000,0
233,2.5,דירה,מבוא הרימון 6,הגפן,רמת גן,2680000,1
234,2.5,דירה,מבוא הרימון 6,הגפן,רמת גן,2680000,1
235,5,דירה,הרואה 7,הגפן,בני ברק,2600000,0
236,5,דירת גן,הרואה 7,הגפן,בני ברק,3200000,0
237,2.5,דירה,הרואה 7,מרכז רמת גן,רמת גן,2100000,0
238,2.5,דירה,הרא''ה,מרכז,רמת גן,2100000,3
239,3,דירה,רבי יהודה הנשיא 34,שכונת ג׳,בני ברק,1950000,0
240,4,דירה,שמעון בן צבי,בן צבי,גבעתיים,4500000,8
241,4,דירה,שמעון בן צבי,בן צבי,גבעתיים,5000000,2
242,4,דירת גן,דרך יצחק רבין,גבעת רמב``ם,גבעתיים,4000000,0
243,4,דירה,דרך יצחק רבין,גבעת רמב``ם,גבעתיים,3500000,2
244,5,דירה,שמעון בן צבי,שטח 9,גבעתיים,5000000,8
245,4,דירה,שמעון בן צבי,שטח 9,גבעתיים,4000000,10
246,4.5,דירה,ערבי נחל,בורוכוב,גבעתיים,4500000,8
247,4.5,דירה,דרך יצחק רבין,תל גנים,גבעתיים,4500000,12
248,5,דירת גג,חד נס,נגבה,רמת גן,3790000,3
249,4,דירה,לאן,שיכון ותיקים,רמת גן,2820000,2
250,5.5,דופלקס,בן פתחיה,גבעת רו,בני ברק,3200000,5
251,4,דירה,סוקולוב,נחלת גנים,רמת גן,3200000,10
252,4,דירה,שדרת התמרים,מרכז העיר,רמת גן,3200000,10
253,4,דירה,טבנקין,תל גנים,גבעתיים,3500000,2
254,4.5,דירה,ההגנה,גבעת רמב``ם,גבעתיים,4500000,4
255,5,דירה,סמטת אבני חושן,מרום נווה,רמת גן,3500000,15
256,5,דירה,דרך זאב ז'בוטינסקי,הראשונים,רמת גן,4300000,10
257,5,דירה,נווה יהושע,נווה יהושע,רמת גן,3500000,20
258,5,דירה,נווה יהושע,נווה יהושע,רמת גן,3500000,25
259,4,דירה,הפלמח,הל״ה,גבעתיים,4290000,1
260,4,דירה,סמטת אבני חושן,מרום נווה,רמת גן,3000000,6
261,5.5,מיני פנטהאוז,נווה יהושע,נווה יהושע,רמת גן,4000000,23
262,7,קוטג,משה שרת,מרכז,רמת גן,8000000,0
263,4,פנטהאוז,סמטת השילוח,יד לבנים,רמת גן,4500000,6
264,4,פנטהאוז,סמטת השילוח,יד לבנים,רמת גן,3500000,6
265,5.5,דירה,המאבק,תל גנים,גבעתיים,5000000,14
266,4.5,דירה,המאבק,תל גנים,גבעתיים,4500000,5
267,5,דירה,אחד העם,רמת השקמה,רמת גן,4200000,5
268,5,מיני פנטהאוז,אחד העם,רמת השקמה,רמת גן,4800000,21
269,5,דירה,המעיין,מתחם הבורסה,רמת גן,5000000,18
270,5,דירת גג,שמעון בן צבי,בן צבי,גבעתיים,5000000,12
271,4,דירה,הראשונים,הראשונים,רמת גן,3800000,3
272,4,דירה,דרך זאב ז'בוטינסקי,הראשונים,רמת גן,3800000,10
273,5,דירה,שמעון בן צבי,בן צבי,גבעתיים,5000000,5
274,4,דירה,ערבי נחל,בורוכוב,גבעתיים,4500000,7
275,4,דירה,איתמר,חרוזים,רמת גן,4650000,2
276,2,דירה,זיסמן,מתחם הבורסה,רמת גן,2200000,31
277,4,דירה,אמנון ותמר,מרום נווה,רמת גן,3380000,1
278,3,דירה,הירדן,מרום נווה,רמת גן,2290000,1
279,4,דירה,יוחנן בדר,מרום,רמת גן,3800000,11
280,6,דירת גג,מלכי צדק 10,רמת השקמה,רמת גן,4285000,2
281,4,דירה,ארלוזרוב 70,עלית,רמת גן,4800000,4
282,5,דירה,אחד העם 14,רמת שקמה,רמת גן,4150000,8
283,3,דירה,הראה,מרכז,רמת גן,2750009,7
284,4,דירה,אדמית,תל גנים,גבעתיים,4500000,3
285,3,דירה,ההלכה,יד לבנים,רמת גן,2790000,3
286,3,דירה,הפודים,נחלת גנים,רמת גן,2400000,1
287,3.5,דירה,נויפלד,קרית הרצוג,בני ברק,2150000,1
288,4,דירה,דרך אבא הלל,חרוזים,רמת גן,2990000,7
289,2,דירה,שיינקין,שיינקין,גבעתיים,2900000,2
290,1,חניה,תובל,מתחם הבורסה,רמת גן,55000,0
291,7,דירה,רב האי גאון 18,שיכון ו,בני ברק,3000000,1
292,3.5,דירה,אחיה השילוני,הר שלום,בני ברק,2400000,2
293,4,דירה,מנדס,קרית קרניצי,רמת גן,3900000,4
294,10,דירה,מרים הנביאה 8,שיכון ג,בני ברק,6000000,1
295,4.5,דירה,הירדן,גן ערמונים,רמת גן,2690000,7
296,4,דירה,רב האי גאון 18,שיכון ו,בני ברק,3000000,1
297,4,דירה,סירקין,בורוכוב,גבעתיים,3490000,3
298,3,דירה,נורדאו 11,מרכז העיר,רמת גן,2738000,2
299,3,דירה,פינקס 24,נווה רם,רמת גן,1940000,3
300,3,דירה,בנימין אברהם,נווה רם,רמת גן,1950000,2
301,4,דופלקס,הרב ברוט,פרדס כץ,בני ברק,230000,3
302,2.5,דירה,ערד,קרית יוסף,גבעתיים,2790000,3
303,5,דופלקס,הבילויים,הבילויים,רמת גן,5150000,4
304,5,דירה,אחד העם 14,רמת גן,רמת גן,4000000,3
305,4,דירה,מלכי צדק,רמת השקמה,רמת גן,3100000,4
306,4.5,דירה,רבינו אשר,גבעצ רוקח,בני ברק,2500000,1
307,3,דירה,קריניצי,קריית קריניצי,רמת גן,2499999,3
308,3,דירה,בלוך,בורוכוב,גבעתיים,3500000,3
309,3,דירה,ויצמן 16,ארלוזורוב,גבעתיים,2890000,5
310,3,דירה,ויצמן 16,ארלוזורוב,גבעתיים,2890000,5
311,2,דירה,זיסמן שלום 14,בורסה,רמת גן,2500000,24
312,10,טריפלקס,א.ד. גורדון,שיכון ג,בני ברק,5500000,2
313,5,פנטהאוז,סירקין,פועלי הרכבת,גבעתיים,6990000,7
314,4.5,דירה,הביל''ויים,הבילויים,רמת גן,3000000,4
315,4,דירה,בן גוריון,בן גוריון,רמת גן,2300000,1
316,3,דירה,תלפיות,הגפן,רמת גן,2700000,2
317,2,דירה,סטרומה,הגפן,רמת גן,2900000,2
318,4,דירה,גרשום,שיכון המזרחי,רמת גן,3200000,6
319,4,פנטהאוז,החי''ל,נגבה,רמת גן,4890000,6
320,3,דירה,שדרות ילד 6,שכונת זהב,רמת גן,9500000,2
321,6.5,דירה,לוחמי סיני,רמת יצחק,רמת גן,3650000,1
322,4,דירה,גרשום,שיכון המזרחי,רמת גן,3200000,6
323,2.5,דירה,רש''י,הגפן,רמת גן,2100000,2
324,2,דירה,קריניצי,מרכז,רמת גן,2100000,2
325,3,דירה,עולי הגרדום,רמת עמידר,רמת גן,1980000,0
326,4,דירה,אנצו סירני,גבעת רמב``ם,גבעתיים,4620000,2
327,5,דירת גג,שדרות השיחרור,קרית בורכוב,רמת גן,4500000,1
328,3.5,דירה,יונתן,לא יודעת,"בני ברק , פרדס כץ",2000000,0
329,5,פנטהאוז,שדרות ירושלים,מרום נווה,רמת גן,6250000,6
330,4,דירה,רחל,הר שלום,בני ברק,1850000,0
331,4,דירה,המתמיד,עלית,רמת גן,3100000,1
332,4,דירה,הרב קוק,הר שלום,בני ברק,2430000,3
333,3,דירה,רבי שלמה יוסף גניחובסקי,קרית הרצוג,בני ברק,1950000,2
334,5.5,דירה,הזיתים,מרכז העיר,רמת גן,3090000,1
335,6,בית פרטי,יבנה,הילל,רמת גן,7300000,0
336,4.5,דירה,עוזיאל 26,רמת יצחק,רמת גן,2450000,2
337,5,דירה,המעלות 6,פועלי הרכבת,רמת גן,4500000,2
338,5,דירה,סמטת אבני החושן,מרום נוה,רמת גן,3300000,15
339,7,קוטג,הצפצפה,צמרות,ראשון לציון,4840000,0
340,8,בית פרטי,"ח""ן",נווה חוף-פואבלו,ראשון לציון,6100000,0
341,4,דירה,האלונים,צמרות המושבה,באר יעקב,2890000,8
342,8,בית פרטי,הנחליאלי,נווה הדרים,ראשון לציון,90000000,0
343,3.5,דירה,צלליכין,רמז,ראשון לציון,2100000,2
344,3,דירה,מבצע נחשון,נווה ים,ראשון לציון,2540000,7
345,4,דירה,משמר הירדן,קדמת ראשון,ראשון לציון,1920000,2
346,3,דירה,מרדכי מוטלה רוזנשטייין,רמב``ם,ראשון לציון,2550000,2
347,5.5,דירה,השומר,השומר,ראשון לציון,2890000,7
348,6,דירה,מרדכי פופל,קדמת ראשון,ראשון לציון,2750000,3
349,6,בית פרטי,החשמונאים,נווה זאב,ראשון לציון,7100000,0
350,3,דירה,עין הקורא,כצנלסון,ראשון לציון,2550000,10
351,10,בית פרטי,האשכולית,נחלת יהודה,ראשון לציון,8800000,0
352,3.5,דירה,קאפח,נאות שקמה,ראשון לציון,2490000,10
353,5,דו משפחתי,תנועות הנוער,נעורים,ראשון לציון,5400000,0
354,5,דירה,נירים 4,מרום ראשון,ראשון לציון,3650000,3
355,3.5,דירה,הרצל,מרכז,רחובות,2050000,5
356,5,דירה,מבצע חירם 5,נווה ים,ראשון לציון,3550000,3
357,6,מגרש למגורים,החצב,שיכון המזרח,ראשון לציון,4500000,0
358,4.5,דירת גג,שדרות זלמן שניאור,רמת אליהו,ראשון לציון,2500000,3
359,4,דירה,כצלנסון,רמז,ראשון לציון,2590000,6
360,3,דירה,מאירוביץ',השומר,ראשון לציון,1900000,4
361,3.5,דירת גן,רבי משה בן נחמן,חלום ראשון,ראשון לציון,2950000,1
362,5,דירת גג,שדרות יעקב 50,שיכוני המזרח,ראשון לציון,3360000,11
363,5,דירת גן,הרבי מלובביץ,נאות שקמה,ראשון לציון,4500000,0
364,5,דופלקס,דמארי,השומר,ראשון לציון,2400000,1
365,4,דירה,הצופים,נעורים,ראשון לציון,130000,3
366,1,משק חקלאי,רמז,רמז,ראשון לציון,130000,0
367,4,דירה,שא נס,פארק המושבה,באר יעקב,2400000,2
368,7,בית פרטי,דובנוב,כצנלסון,ראשון לציון,7100000,0
369,5,דירה,ישראל גלילי,הלאום,ראשון לציון,4125000,12
370,1,מגרש למגורים,יעקב פריימן,ומימתחם צוריאל,ראשון לציון,351000,0
